Time,AirT_Lapse6_daily_mean
2016-09-28,10.0
2016-09-29,9.33333333333
2016-09-30,6.75
2016-10-01,2.0
2016-10-02,5.33333333333
2016-10-03,3.83333333333
2016-10-04,2.41666666667
2016-10-05,4.58333333333
2016-10-06,3.66666666667
2016-10-07,2.91666666667
2016-10-08,5.16666666667
2016-10-09,3.16666666667
2016-10-10,0.333333333333
2016-10-11,1.66666666667
2016-10-12,4.75
2016-10-13,4.08333333333
2016-10-14,2.0
2016-10-15,1.66666666667
2016-10-16,1.33333333333
2016-10-17,0.666666666667
2016-10-18,0.583333333333
2016-10-19,1.0
2016-10-20,2.58333333333
2016-10-21,1.41666666667
2016-10-22,0.916666666667
2016-10-23,2.83333333333
2016-10-24,6.66666666667
2016-10-25,1.58333333333
2016-10-26,3.16666666667
2016-10-27,2.33333333333
2016-10-28,3.5
2016-10-29,2.5
2016-10-30,2.75
2016-10-31,1.75
2016-11-01,0.0833333333333
2016-11-02,1.41666666667
2016-11-03,4.75
2016-11-04,8.91666666667
2016-11-05,5.16666666667
2016-11-06,1.14285714286
2016-11-07,4.58333333333
2016-11-08,9.33333333333
2016-11-09,6.16666666667
2016-11-10,10.1666666667
2016-11-11,9.16666666667
2016-11-12,3.5
2016-11-13,0.0833333333333
2016-11-14,0.333333333333
2016-11-15,-1.41666666667
2016-11-16,-3.16666666667
2016-11-17,-2.83333333333
2016-11-18,-2.83333333333
2016-11-19,-0.583333333333
2016-11-20,0.333333333333
2016-11-21,-0.916666666667
2016-11-22,-1.41666666667
2016-11-23,-2.25
2016-11-24,-2.16666666667
2016-11-25,-2.0
2016-11-26,-0.833333333333
2016-11-27,-3.08333333333
2016-11-28,-3.0
2016-11-29,-3.08333333333
2016-11-30,-2.91666666667
2016-12-01,-4.0
2016-12-02,-2.16666666667
2016-12-03,-2.66666666667
2016-12-04,-5.66666666667
2016-12-05,-7.58333333333
2016-12-06,-11.25
2016-12-07,-11.1666666667
2016-12-08,-11.1666666667
2016-12-09,-5.66666666667
2016-12-10,-4.83333333333
2016-12-11,-4.41666666667
2016-12-12,-4.5
2016-12-13,-6.33333333333
2016-12-14,-8.33333333333
2016-12-15,-8.58333333333
2016-12-16,-13.75
2016-12-17,-12.75
2016-12-18,-9.0
2016-12-19,-4.41666666667
2016-12-20,-3.25
2016-12-21,-4.0
2016-12-22,-4.16666666667
2016-12-23,-4.16666666667
2016-12-24,-6.5
2016-12-25,-8.75
2016-12-26,-6.83333333333
2016-12-27,-4.75
2016-12-28,-5.5
2016-12-29,-4.58333333333
2016-12-30,-4.5
2016-12-31,-6.58333333333
2017-01-01,-8.16666666667
2017-01-02,-12.25
2017-01-03,-14.3333333333
2017-01-04,-12.4166666667
2017-01-05,-10.1666666667
2017-01-06,-9.66666666667
2017-01-07,-8.16666666667
2017-01-08,-2.08333333333
2017-01-09,-4.08333333333
2017-01-10,-8.5
2017-01-11,-13.3333333333
