Time,Lapse7_daily_mean_RH
2016-09-28,69.175
2016-09-29,81.88225
2016-09-30,97.031
2016-10-01,100.9075
2016-10-02,87.596125
2016-10-03,99.494375
2016-10-04,105.28675
2016-10-05,99.899875
2016-10-06,104.738125
2016-10-07,105.45125
2016-10-08,105.0125
2016-10-09,105.886875
2016-10-10,101.462
2016-10-11,67.126125
2016-10-12,52.044125
2016-10-13,101.00725
2016-10-14,105.723625
2016-10-15,106.26725
2016-10-16,106.428875
2016-10-17,106.319
2016-10-18,106.429125
2016-10-19,106.32
2016-10-20,106.588
2016-10-21,107.022875
2016-10-22,103.547625
2016-10-23,100.781125
2016-10-24,81.592625
2016-10-25,105.995875
2016-10-26,100.55875
2016-10-27,106.321125
2016-10-28,105.068
2016-10-29,91.264125
2016-10-30,95.4185
2016-10-31,105.99575
2016-11-01,106.10375
2016-11-02,106.1045
2016-11-03,86.701125
2016-11-04,42.2475
2016-11-05,98.9465
2016-11-06,106.237111111
2016-11-07,102.1715
2016-11-08,82.19075
2016-11-09,102.05125
2016-11-10,59.247625
2016-11-11,67.8045
2016-11-12,104.25075
2016-11-13,106.212875
2016-11-14,102.09575
2016-11-15,104.9005
2016-11-16,104.629375
2016-11-17,104.68475
2016-11-18,102.1385
2016-11-19,104.0395
2016-11-20,106.050125
2016-11-21,105.669375
2016-11-22,105.669375
2016-11-23,105.068625
2016-11-24,105.178625
2016-11-25,105.23275
2016-11-26,105.941625
2016-11-27,105.068625
2016-11-28,104.848375
2016-11-29,104.79475
2016-11-30,104.904
2016-12-01,104.297875
2016-12-02,105.396875
2016-12-03,105.287375
2016-12-04,103.689625
2016-12-05,103.301
2016-12-06,101.6175
2016-12-07,100.5965
2016-12-08,98.524
2016-12-09,104.131375
2016-12-10,104.188125
2016-12-11,104.46325
2016-12-12,104.35425
2016-12-13,102.67175
2016-12-14,91.348625
2016-12-15,95.820875
2016-12-16,88.372125
2016-12-17,97.25325
2016-12-18,103.85225
2016-12-19,104.35275
2016-12-20,104.957625
2016-12-21,104.072875
2016-12-22,101.663625
2016-12-23,104.684125
2016-12-24,103.579
2016-12-25,102.29125
2016-12-26,103.8
2016-12-27,104.1885
2016-12-28,103.96775
2016-12-29,104.683875
2016-12-30,104.02225
2016-12-31,103.2455
2017-01-01,102.126
2017-01-02,99.7945
2017-01-03,95.871375
2017-01-04,82.994375
2017-01-05,80.6655
2017-01-06,92.792375
2017-01-07,88.835125
2017-01-08,103.677
2017-01-09,104.021625
2017-01-10,99.4305
2017-01-11,78.205375
2017-01-12,79.17125
2017-01-13,63.51425
2017-01-14,53.09775
2017-01-15,74.02875
2017-01-16,87.020875
2017-01-17,105.55825
2017-01-18,106.590375
2017-01-19,105.614875
2017-01-20,105.1775
2017-01-21,105.34
2017-01-22,104.518
2017-01-23,101.834375
2017-01-24,103.688375
2017-01-25,104.132375
2017-01-26,103.37975
2017-01-27,98.353125
2017-01-28,66.901625
2017-01-29,82.71475
2017-01-30,102.078125
2017-01-31,76.84775
2017-02-01,62.17025
2017-02-02,40.675625
2017-02-03,98.31225
2017-02-04,104.848
2017-02-05,103.466
2017-02-06,102.967
2017-02-07,102.4055
2017-02-08,104.18175
2017-02-09,106.699
2017-02-10,105.231625
2017-02-11,104.299
2017-02-12,87.215875
2017-02-13,47.57525
2017-02-14,43.968125
2017-02-15,106.157875
2017-02-16,106.807
2017-02-17,105.995875
2017-02-18,106.05
2017-02-19,105.6685
2017-02-20,105.77825
2017-02-21,105.449875
2017-02-22,104.242125
2017-02-23,104.132875
2017-02-24,104.1875
2017-02-25,104.297875
2017-02-26,103.9115
2017-02-27,102.285375
2017-02-28,101.986625
2017-03-01,105.12375
2017-03-02,105.286875
2017-03-03,105.776375
2017-03-04,102.731125
2017-03-05,102.784375
2017-03-06,101.31075
2017-03-07,103.798625
2017-03-08,104.187875
2017-03-09,105.77625
2017-03-10,106.8615
2017-03-11,106.209625
2017-03-12,105.676714286
2017-03-13,106.860625
2017-03-14,107.45275
2017-03-15,107.77375
2017-03-16,106.0485
2017-03-17,100.8695
2017-03-18,106.42475
2017-03-19,104.232
2017-03-20,56.874875
