Time,AirT_Lapse1_daily_mean
8/16/2016,22.73675
8/17/2016,18.607625
8/18/2016,21.671625
8/19/2016,22.171875
8/20/2016,21.921875
8/21/2016,18.358125
8/22/2016,13.851125
8/23/2016,15.665
8/24/2016,19.0445
8/25/2016,20.421625
8/26/2016,20.85925
8/27/2016,17.482375
8/28/2016,13.97625
8/29/2016,16.104
8/30/2016,15.165375
8/31/2016,13.6635
9/1/2016,11.65875
9/2/2016,10.7815
9/3/2016,11.094875
9/4/2016,10.7185
9/5/2016,11.72125
9/6/2016,12.285375
9/7/2016,12.159875
9/8/2016,11.095
9/9/2016,11.156375
9/10/2016,13.97575
9/11/2016,13.53775
9/12/2016,11.72025
9/13/2016,12.596875
9/14/2016,13.78725
9/15/2016,13.912875
9/16/2016,14.53925
9/17/2016,12.16
9/18/2016,10.844125
9/19/2016,9.46575
9/20/2016,9.465375
9/21/2016,9.652875
9/22/2016,10.5925
9/23/2016,9.46575
9/24/2016,10.21775
9/25/2016,11.8465
9/26/2016,14.16375
9/27/2016,13.41275
9/28/2016,11.0315
9/29/2016,10.3425
9/30/2016,10.718875
10/1/2016,8.023375
10/2/2016,8.901
10/3/2016,8.5875
10/4/2016,8.775875
10/5/2016,9.089375
10/6/2016,9.34025
10/7/2016,8.5255
10/8/2016,8.901375
10/9/2016,8.337125
10/10/2016,6.267875
10/11/2016,3.444625
10/12/2016,4.573625
10/13/2016,8.6505
10/14/2016,7.898375
10/15/2016,7.45925
10/16/2016,7.459375
10/17/2016,7.334
10/18/2016,7.146
10/19/2016,6.706875
10/20/2016,8.023625
10/21/2016,6.45575
10/22/2016,6.3305
10/23/2016,7.58475
10/24/2016,9.402625
10/25/2016,7.772875
10/26/2016,7.334
10/27/2016,8.4
10/28/2016,7.584875
10/29/2016,6.5815
10/30/2016,5.954125
10/31/2016,7.459375
11/1/2016,6.3935
11/2/2016,7.396875
11/3/2016,7.835625
11/4/2016,7.33325
11/5/2016,9.77875
11/6/2016,6.247
11/7/2016,8.838625
11/8/2016,11.09475
11/9/2016,10.844125
11/10/2016,9.402625
11/11/2016,10.468125
11/12/2016,9.214625
11/13/2016,6.581875
11/14/2016,6.1425
11/15/2016,4.888
11/16/2016,2.6295
11/17/2016,2.50375
11/18/2016,2.503875
11/19/2016,4.699875
11/20/2016,6.268125
11/21/2016,4.888
11/22/2016,4.197875
11/23/2016,3.759125
11/24/2016,3.00625
11/25/2016,3.32
11/26/2016,4.009875
11/27/2016,2.567
11/28/2016,2.127375
11/29/2016,2.692375
11/30/2016,2.566625
12/1/2016,2.002
12/2/2016,3.32
12/3/2016,2.504
12/4/2016,0.369625
12/5/2016,-1.325875
12/6/2016,-4.02675
12/7/2016,-6.35225
12/8/2016,-5.59825
12/9/2016,-2.833375
12/10/2016,-0.195375
12/11/2016,0.558
12/12/2016,-1.64
12/13/2016,-3.4615
12/14/2016,-5.849625
12/15/2016,-6.16375
12/16/2016,-8.49
12/17/2016,-8.427125
12/18/2016,-3.713
12/19/2016,0.18125
12/20/2016,0.74625
12/21/2016,0.62075
12/22/2016,0.74625
12/23/2016,0.244
12/24/2016,-1.326
12/25/2016,-5.660625
12/26/2016,-2.70825
12/27/2016,0.36975
12/28/2016,0.558
12/29/2016,0.4325
12/30/2016,0.244125
12/31/2016,-1.95375
1/1/2017,-3.021625
1/2/2017,-7.421125
1/3/2017,-9.055875
1/4/2017,-8.301375
1/5/2017,-8.804375
1/6/2017,-5.220875
1/7/2017,-5.5355
1/8/2017,-0.635125
1/9/2017,0.244125
1/10/2017,-4.404125
1/11/2017,-7.60975
1/12/2017,-9.2445
1/13/2017,-5.975625
1/14/2017,-4.5295
1/15/2017,-1.577
1/16/2017,0.6205
1/17/2017,2.31575
1/18/2017,2.62975
1/19/2017,2.002
1/20/2017,1.562375
1/21/2017,1.687875
1/22/2017,1.122875
1/23/2017,-0.1955
1/24/2017,-0.383875
1/25/2017,0.432125
1/26/2017,0.74625
1/27/2017,0.494875
1/28/2017,0.87175
1/29/2017,1.311
1/30/2017,0.934625
1/31/2017,-1.891
2/1/2017,-2.268375
2/2/2017,-2.958875
2/3/2017,-1.200125
2/4/2017,-1.011875
2/5/2017,-1.70275
2/6/2017,-4.718125
2/7/2017,-4.341
2/8/2017,-2.896375
2/9/2017,0.9345
2/10/2017,1.122875
2/11/2017,0.809
2/12/2017,0.74625
2/13/2017,1.8135
2/14/2017,3.068625
2/15/2017,3.50825
2/16/2017,3.069
2/17/2017,2.064625
2/18/2017,1.876125
2/19/2017,1.876125
2/20/2017,2.0645
2/21/2017,1.2485
2/22/2017,-0.069875
2/23/2017,-0.44675
2/24/2017,-0.13275
2/25/2017,-0.823625
2/26/2017,-0.132875
2/27/2017,-2.20525
2/28/2017,-1.514375
3/1/2017,0.4325
3/2/2017,0.99725
3/3/2017,1.185625
3/4/2017,-0.634875
3/5/2017,-0.1955
3/6/2017,-0.823625
3/7/2017,-0.697875
3/8/2017,-0.069875
3/9/2017,0.30675
3/10/2017,1.625125
3/11/2017,2.001875
3/12/2017,2.351571429
3/13/2017,2.88075
3/14/2017,3.4455
3/15/2017,3.13175
3/16/2017,2.252875
3/17/2017,1.75075
3/18/2017,2.503875
3/19/2017,0.68375
3/20/2017,1.248375
3/21/2017,4.135375
3/22/2017,4.009875
3/23/2017,3.256875
3/24/2017,3.570875
3/25/2017,2.378625
3/26/2017,2.754625
3/27/2017,3.821625
3/28/2017,3.50825
3/29/2017,4.135375
3/30/2017,2.880125
3/31/2017,4.134375
4/1/2017,5.076125
4/2/2017,3.069
4/3/2017,2.566
4/4/2017,4.19725
4/5/2017,5.578
4/6/2017,5.452375
4/7/2017,5.327125
4/8/2017,3.759
4/9/2017,3.194
4/10/2017,3.82175
4/11/2017,4.26
4/12/2017,5.70325
4/13/2017,4.950625
4/14/2017,3.884375
4/15/2017,3.005875
4/16/2017,5.20025
4/17/2017,6.894875
4/18/2017,6.142375
4/19/2017,5.577875
4/20/2017,5.891625
4/21/2017,6.89425
4/22/2017,7.1455
4/23/2017,7.020375
4/24/2017,7.270625
4/25/2017,8.149
4/26/2017,5.89175
4/27/2017,3.696
4/28/2017,5.891125
4/29/2017,4.88775
4/30/2017,5.766
5/1/2017,5.577875
5/2/2017,7.897125
5/3/2017,9.841375
5/4/2017,13.223625
5/5/2017,9.9665
5/6/2017,5.515125
5/7/2017,6.831125
5/8/2017,7.772125
5/9/2017,9.90275
5/10/2017,12.159125
5/11/2017,9.527875
5/12/2017,5.38975
5/13/2017,4.887875
5/14/2017,5.954
5/15/2017,5.76625
5/16/2017,4.448875
5/17/2017,7.458625
5/18/2017,10.780625
5/19/2017,10.8435
5/20/2017,13.72425
5/21/2017,15.28875
5/22/2017,16.79075
5/23/2017,16.10325
5/24/2017,8.148875
5/25/2017,11.092375
5/26/2017,14.91275
5/27/2017,16.790375
5/28/2017,18.668125
5/29/2017,18.668125
5/30/2017,12.598375
5/31/2017,11.78375
6/1/2017,11.909375
6/2/2017,11.094875
6/3/2017,10.718625
6/4/2017,11.407875
6/5/2017,12.345
6/6/2017,16.97875
6/7/2017,18.73175
6/8/2017,12.222375
6/9/2017,8.901125
6/10/2017,8.964
6/11/2017,11.595875
6/12/2017,11.408
6/13/2017,10.02975
6/14/2017,9.4025
6/15/2017,10.15475
6/16/2017,10.46825
6/17/2017,10.217
6/18/2017,10.593625
6/19/2017,13.600125
6/20/2017,13.538125
6/21/2017,12.5355
6/22/2017,13.15975
6/23/2017,16.29025
6/24/2017,19.668625
6/25/2017,22.171
6/26/2017,20.172375
6/27/2017,15.1655
6/28/2017,14.977625
6/29/2017,16.47925
6/30/2017,19.045
7/1/2017,17.732125
7/2/2017,17.356
7/3/2017,15.66675
7/4/2017,15.72775
7/5/2017,18.731375
7/6/2017,20.1085
7/7/2017,17.98275
7/8/2017,17.543375
7/9/2017,17.732375
7/10/2017,16.418125
7/11/2017,14.976875
7/12/2017,16.480125
7/13/2017,15.604625
7/14/2017,16.666875
7/15/2017,16.48025
7/16/2017,14.790625
7/17/2017,15.1015
7/18/2017,17.41825
7/19/2017,16.917875
7/20/2017,13.663625
7/21/2017,14.1015
7/22/2017,15.917375
7/23/2017,17.4825
7/24/2017,17.2305
7/25/2017,19.232625
7/26/2017,19.295875
7/27/2017,17.357
7/28/2017,16.98025
7/29/2017,17.981375
