Time,AirT_Lapse5_daily_mean
2017-09-28,16.6056666667
2017-09-29,9.653
2017-09-30,3.445375
2017-10-01,2.81775
2017-10-02,4.135125
2017-10-03,5.451125
2017-10-04,6.015625
2017-10-05,7.708375
2017-10-06,6.07975
2017-10-07,1.8135
2017-10-08,2.4405
2017-10-09,4.259625
2017-10-10,4.25975
2017-10-11,-0.258375
2017-10-12,-0.258375
2017-10-13,-0.886125
2017-10-14,-0.572625
2017-10-15,5.5775
2017-10-16,6.079875
2017-10-17,4.135
2017-10-18,2.87975
2017-10-19,2.880375
2017-10-20,0.307
2017-10-21,0.1185
2017-10-22,2.503875
2017-10-23,3.444625
2017-10-24,7.270125
2017-10-25,6.455875
2017-10-26,3.883375
2017-10-27,9.463625
2017-10-28,10.5925
2017-10-29,8.1485
2017-10-30,4.322125
2017-10-31,5.452375
2017-11-01,1.625
2017-11-02,-0.76075
2017-11-03,-5.158
2017-11-04,-4.9065
2017-11-05,-6.087
2017-11-06,-5.41025
2017-11-07,-2.896625
2017-11-08,2.127375
2017-11-09,0.87175
2017-11-10,0.6835
2017-11-11,1.122875
2017-11-12,0.997375
2017-11-13,-0.1955
2017-11-14,-0.63525
2017-11-15,-0.886125
2017-11-16,-1.702625
2017-11-17,-2.39325
2017-11-18,-0.949125
2017-11-19,-1.3885
2017-11-20,-0.195375
2017-11-21,3.50675
2017-11-22,7.8355
2017-11-23,1.876
2017-11-24,-0.1955
2017-11-25,0.934625
2017-11-26,2.0635
2017-11-27,-1.953875
2017-11-28,-1.7025
2017-11-29,-1.388625
2017-11-30,-0.88625
2017-12-01,-1.828125
2017-12-02,-1.95375
2017-12-03,-3.022
2017-12-04,-5.409625
2017-12-05,-1.893
2017-12-06,0.24325
2017-12-07,4.322625
2017-12-08,5.70325
2017-12-09,8.4625
2017-12-10,5.138875
2017-12-11,6.957625
2017-12-12,2.88
2017-12-13,1.8755
2017-12-14,3.4445
2017-12-15,-0.258375
2017-12-16,-2.393375
2017-12-17,-0.948875
2017-12-18,-1.388625
2017-12-19,-2.268125
2017-12-20,-7.673
2017-12-21,-6.41525
2017-12-22,-8.239
2017-12-23,-12.95675
2017-12-24,-7.04425
2017-12-25,-5.095
2017-12-26,-5.3465
2017-12-27,-4.341
2017-12-28,-1.137375
2017-12-29,0.181375
2017-12-30,-2.833375
2017-12-31,-5.5985
2018-01-01,-2.582375
2018-01-02,4.134875
2018-01-03,2.69175
2018-01-04,5.076125
2018-01-05,3.5705
2018-01-06,-0.383875
2018-01-07,-1.0745
2018-01-08,0.62075
2018-01-09,-0.760625
2018-01-10,-3.084375
2018-01-11,-0.572125
2018-01-12,0.74625
2018-01-13,2.566625
2018-01-14,7.33325
2018-01-15,7.145625
2018-01-16,0.683375
2018-01-17,1.75075
2018-01-18,-1.3885
2018-01-19,-2.0165
2018-01-20,-2.204875
2018-01-21,-1.514125
