Time,GroundT_Lapse4_daily_mean
2015-12-04,1.75
2015-12-05,1.0
2015-12-06,0.9375
2015-12-07,1.1875
2015-12-08,1.5
2015-12-09,1.4375
2015-12-10,1.5
2015-12-11,1.5625
2015-12-12,2.0
2015-12-13,2.0
2015-12-14,2.0
2015-12-15,2.0
2015-12-16,2.0
2015-12-17,2.0
2015-12-18,0.875
2015-12-19,1.5
2015-12-20,2.0
2015-12-21,2.0
2015-12-22,2.0
2015-12-23,2.0
2015-12-24,2.0
2015-12-25,2.0
2015-12-26,2.0
2015-12-27,2.0
2015-12-28,2.0
2015-12-29,2.0
2015-12-30,2.0
2015-12-31,2.0
2016-01-01,2.0
2016-01-02,2.0
2016-01-03,2.0
2016-01-04,2.0
2016-01-05,1.0
2016-01-06,1.0625
2016-01-07,1.5
2016-01-08,1.75
2016-01-09,2.0
2016-01-10,2.0
2016-01-11,1.4375
2016-01-12,0.5
2016-01-13,0.5
2016-01-14,1.125
2016-01-15,1.5
2016-01-16,0.75
2016-01-17,0.5
2016-01-18,0.5
2016-01-19,0.875
2016-01-20,1.4375
2016-01-21,1.375
2016-01-22,1.0
2016-01-23,1.1875
2016-01-24,1.5
2016-01-25,1.5
2016-01-26,0.875
2016-01-27,0.9375
2016-01-28,1.75
2016-01-29,1.1875
2016-01-30,1.5
2016-01-31,1.5
2016-02-01,1.5
2016-02-02,1.5
2016-02-03,1.5
2016-02-04,1.5
2016-02-05,1.25
2016-02-06,0.5
2016-02-07,0.9375
2016-02-08,0.5
2016-02-09,0.5
2016-02-10,0.5
2016-02-11,0.5
2016-02-12,0.5625
2016-02-13,0.875
2016-02-14,0.8125
2016-02-15,0.625
2016-02-16,0.5625
2016-02-17,0.5
2016-02-18,0.5
2016-02-19,0.625
2016-02-20,0.6875
2016-02-21,1.0
2016-02-22,1.0
2016-02-23,1.0
2016-02-24,1.0
2016-02-25,0.75
2016-02-26,0.5
2016-02-27,0.5
2016-02-28,0.5
2016-02-29,0.5625
2016-03-01,0.6875
2016-03-02,0.5
2016-03-03,0.5
2016-03-04,0.5
2016-03-05,0.5
2016-03-06,0.5
2016-03-07,0.875
2016-03-08,1.0
2016-03-09,0.9375
2016-03-10,0.5
2016-03-11,0.8125
2016-03-12,0.5625
2016-03-13,1.0
2016-03-14,1.0
2016-03-15,1.0
2016-03-16,1.0
2016-03-17,1.0
2016-03-18,1.0
2016-03-19,0.9375
2016-03-20,0.5
2016-03-21,0.5
2016-03-22,0.5
2016-03-23,0.5
2016-03-24,0.5
2016-03-25,0.875
2016-03-26,0.9375
2016-03-27,0.5
2016-03-28,0.5625
2016-03-29,0.5625
2016-03-30,0.5
2016-03-31,0.5
2016-04-01,0.5
2016-04-02,0.5
2016-04-03,0.5
2016-04-04,0.5
2016-04-05,0.9375
2016-04-06,0.5
2016-04-07,0.5625
2016-04-08,1.375
2016-04-09,3.25
2016-04-10,3.9375
2016-04-11,3.875
2016-04-12,3.4375
2016-04-13,2.4375
2016-04-14,2.5
2016-04-15,2.875
2016-04-16,3.1875
2016-04-17,4.6875
2016-04-18,6.5
2016-04-19,7.25
2016-04-20,7.9375
2016-04-21,8.25
2016-04-22,7.4375
2016-04-23,6.375
2016-04-24,4.875
2016-04-25,3.8125
2016-04-26,3.875
2016-04-27,4.6875
2016-04-28,5.125
2016-04-29,5.0
2016-04-30,4.8125
2016-05-01,5.8125
2016-05-02,7.3125
