Time,AirT_Lapse5_daily_mean
2016-09-28,14.5956666667
2016-09-29,7.834875
2016-09-30,7.7725
2016-10-01,4.26075
2016-10-02,6.329125
2016-10-03,5.327
2016-10-04,3.94725
2016-10-05,5.515125
2016-10-06,5.13875
2016-10-07,4.135375
2016-10-08,6.5185
2016-10-09,5.45225
2016-10-10,1.49975
2016-10-11,1.56075
2016-10-12,4.57275
2016-10-13,5.452625
2016-10-14,3.131125
2016-10-15,2.817875
2016-10-16,2.629625
2016-10-17,2.252875
2016-10-18,1.939125
2016-10-19,2.69175
2016-10-20,4.135125
2016-10-21,2.75475
2016-10-22,2.44075
2016-10-23,4.69975
2016-10-24,6.831875
2016-10-25,3.13175
2016-10-26,4.135375
2016-10-27,3.696375
2016-10-28,4.699875
2016-10-29,3.507875
2016-10-30,3.13075
2016-10-31,2.94325
2016-11-01,1.374125
2016-11-02,3.005375
2016-11-03,6.393125
2016-11-04,10.65625
2016-11-05,6.581375
2016-11-06,2.34355555556
2016-11-07,6.580875
2016-11-08,11.596
2016-11-09,7.522
2016-11-10,11.09425
2016-11-11,10.78125
2016-11-12,5.138875
2016-11-13,1.62525
2016-11-14,1.373875
2016-11-15,0.30675
2016-11-16,-1.3885
2016-11-17,-1.514125
2016-11-18,-1.640125
2016-11-19,1.248375
2016-11-20,1.562375
2016-11-21,0.683625
2016-11-22,0.243875
2016-11-23,-0.88625
2016-11-24,-0.44675
2016-11-25,-0.383875
2016-11-26,0.432375
2016-11-27,-1.63975
2016-11-28,-1.514125
2016-11-29,-1.702625
2016-11-30,-1.325875
2016-12-01,-2.45675
2016-12-02,-0.5095
2016-12-03,-1.514
2016-12-04,-5.09625
2016-12-05,-7.421375
2016-12-06,-11.006375
2016-12-07,-13.838375
2016-12-08,-11.7615
2016-12-09,-3.58725
2016-12-10,-3.524125
2016-12-11,-2.95875
2016-12-12,-4.27825
2016-12-13,-8.365375
2016-12-14,-10.754375
2016-12-15,-11.1325
2016-12-16,-14.4045
2016-12-17,-12.453
2016-12-18,-6.289625
2016-12-19,-2.58175
2016-12-20,-1.828125
2016-12-21,-1.64
2016-12-22,-1.576875
2016-12-23,-3.33575
2016-12-24,-8.616375
2016-12-25,-9.937125
2016-12-26,-4.90675
2016-12-27,-3.649875
2016-12-28,-4.215375
2016-12-29,-3.14725
2016-12-30,-4.844
2016-12-31,-6.478125
2017-01-01,-8.427125
2017-01-02,-12.327
2017-01-03,-13.019125
2017-01-04,-9.622625
2017-01-05,-8.113375
2017-01-06,-5.598375
2017-01-07,-4.53
2017-01-08,0.055625
2017-01-09,-3.524375
2017-01-10,-9.81125
2017-01-11,-10.756
2017-01-12,-8.679875
2017-01-13,-4.2165
2017-01-14,0.492875
2017-01-15,-0.007375
2017-01-16,3.131125
2017-01-17,2.252875
2017-01-18,1.31125
2017-01-19,-0.635125
2017-01-20,-2.33075
2017-01-21,-1.01175
2017-01-22,-2.0795
2017-01-23,-5.976125
2017-01-24,-4.781375
2017-01-25,-3.587125
2017-01-26,-1.954125
2017-01-27,-0.887125
2017-01-28,4.386125
2017-01-29,2.251875
2017-01-30,-3.399
2017-01-31,-7.861625
2017-02-01,-8.113125
2017-02-02,-5.536375
2017-02-03,-0.697875
2017-02-04,-0.760625
2017-02-05,-4.969625
2017-02-06,-6.289375
2017-02-07,-6.164
2017-02-08,-2.64525
2017-02-09,2.566625
2017-02-10,-2.01675
2017-02-11,-2.645125
2017-02-12,-0.32175
2017-02-13,4.8865
2017-02-14,7.96025
2017-02-15,5.076125
2017-02-16,1.49975
2017-02-17,-0.761375
2017-02-18,-0.32125
2017-02-19,-1.200125
2017-02-20,-0.5095
2017-02-21,-2.645125
2017-02-22,-4.5935
2017-02-23,-5.976875
2017-02-24,-5.976875
2017-02-25,-6.478625
2017-02-26,-4.59275
2017-02-27,-7.484125
2017-02-28,-6.41575
2017-03-01,-1.765375
2017-03-02,-1.576875
2017-03-03,-1.011875
2017-03-04,-5.724125
2017-03-05,-5.03225
2017-03-06,-5.59825
2017-03-07,-4.843875
2017-03-08,-4.529875
2017-03-09,-0.949125
2017-03-10,0.9345
2017-03-11,0.997125
2017-03-12,1.132
2017-03-13,1.5625
2017-03-14,3.947
2017-03-15,1.75075
2017-03-16,-2.0795
2017-03-17,-0.761
2017-03-18,0.18075
2017-03-19,-2.897625
2017-03-20,-1.57925
2017-03-21,2.504125
2017-03-22,1.123
2017-03-23,-0.44675
2017-03-24,0.181125
2017-03-25,-0.509625
2017-03-26,-0.446875
2017-03-27,0.369625
2017-03-28,-0.13275
2017-03-29,0.809125
2017-03-30,0.871
2017-03-31,1.310625
2017-04-01,1.87625
2017-04-02,-0.94925
2017-04-03,-1.453
2017-04-04,2.7545
2017-04-05,1.06
