Time,AirT_Lapse1_daily_mean
2017-09-28,15.605
2017-09-29,12.661
2017-09-30,8.4625
2017-10-01,7.522
2017-10-02,7.5845
2017-10-03,7.333125
2017-10-04,7.771875
2017-10-05,8.398625
2017-10-06,7.584875
2017-10-07,7.2715
2017-10-08,6.518875
2017-10-09,6.518375
2017-10-10,5.38975
2017-10-11,3.947
2017-10-12,4.260875
2017-10-13,3.194
2017-10-14,3.94675
2017-10-15,6.894625
2017-10-16,7.89825
2017-10-17,8.274375
2017-10-18,6.14225
2017-10-19,7.710125
2017-10-20,5.703375
2017-10-21,4.7
2017-10-22,7.39675
2017-10-23,6.957375
2017-10-24,7.271
2017-10-25,7.6475
2017-10-26,7.083
2017-10-27,8.02325
2017-10-28,9.08925
2017-10-29,9.089
2017-10-30,5.389625
2017-10-31,4.824875
2017-11-01,6.08
2017-11-02,3.57025
2017-11-03,-0.949125
2017-11-04,-1.577
2017-11-05,-1.00477777778
2017-11-06,-1.3885
2017-11-07,-0.384
2017-11-08,2.44125
2017-11-09,3.32
2017-11-10,2.755125
2017-11-11,3.444625
2017-11-12,5.26425
2017-11-13,4.198
2017-11-14,2.88075
2017-11-15,3.1945
2017-11-16,2.817875
2017-11-17,1.687875
2017-11-18,3.006125
2017-11-19,2.880625
2017-11-20,3.445375
2017-11-21,4.824875
2017-11-22,9.40275
2017-11-23,6.89475
2017-11-24,4.825125
2017-11-25,5.389875
2017-11-26,5.703
2017-11-27,2.6925
2017-11-28,2.69225
2017-11-29,2.75525
2017-11-30,3.38275
2017-12-01,2.315875
2017-12-02,1.43675
2017-12-03,0.99725
2017-12-04,0.369625
2017-12-05,-0.007125
2017-12-06,1.311125
2017-12-07,1.4995
2017-12-08,1.2485
2017-12-09,1.2485
2017-12-10,2.064875
2017-12-11,1.123
2017-12-12,2.06475
2017-12-13,2.002
2017-12-14,1.750625
2017-12-15,2.566875
2017-12-16,1.688
2017-12-17,2.504125
2017-12-18,2.566625
2017-12-19,0.997375
2017-12-20,-1.576875
2017-12-21,-1.51425
2017-12-22,-1.8285
2017-12-23,-5.22075
2017-12-24,-3.147375
2017-12-25,-2.456125
2017-12-26,-1.388625
2017-12-27,-0.572125
2017-12-28,0.558
2017-12-29,1.311125
2017-12-30,0.809
2017-12-31,-0.88625
2018-01-01,-0.4465
2018-01-02,1.123
2018-01-03,1.499375
2018-01-04,2.252875
2018-01-05,3.696375
2018-01-06,2.818
2018-01-07,2.064625
2018-01-08,2.943375
2018-01-09,2.818
2018-01-10,1.562375
2018-01-11,1.68775
2018-01-12,3.445375
2018-01-13,4.3235
2018-01-14,4.009875
2018-01-15,5.0135
2018-01-16,4.82525
2018-01-17,5.139125
2018-01-18,3.257125
2018-01-19,2.1275
2018-01-20,1.939125
2018-01-21,2.504125
2018-01-22,0.809
2018-01-23,1.374125
2018-01-24,2.818
2018-01-25,0.74625
2018-01-26,0.558
2018-01-27,1.1855
2018-01-28,2.56675
2018-01-29,4.07225
2018-01-30,0.809
2018-01-31,0.62075
2018-02-01,1.31125
2018-02-02,2.69225
2018-02-03,3.571
2018-02-04,4.57425
2018-02-05,4.323625
2018-02-06,4.072625
2018-02-07,4.574375
2018-02-08,5.2645
2018-02-09,1.499625
2018-02-10,-1.011625
2018-02-11,-1.2
2018-02-12,-2.267875
2018-02-13,-0.509625
2018-02-14,0.307
2018-02-15,0.05575
2018-02-16,0.49525
2018-02-17,0.558
2018-02-18,-3.838875
2018-02-19,-7.106875
2018-02-20,-6.16425
2018-02-21,-6.541125
2018-02-22,-6.54125
2018-02-23,-5.84975
2018-02-24,-1.4515
2018-02-25,-0.383875
2018-02-26,-0.88625
2018-02-27,-0.132625
2018-02-28,0.558
2018-03-01,0.809
2018-03-02,0.181375
2018-03-03,0.05575
2018-03-04,0.558125
2018-03-05,0.6835
2018-03-06,0.3695
2018-03-07,0.181125
2018-03-08,1.939
2018-03-09,0.74625
2018-03-10,0.683375
2018-03-11,1.921
2018-03-12,3.2565
2018-03-13,3.319875
2018-03-14,2.19025
2018-03-15,1.248375
2018-03-16,1.93875
2018-03-17,2.377375
2018-03-18,2.81725
2018-03-19,2.19
2018-03-20,2.5665
2018-03-21,3.444625
2018-03-22,2.754875
2018-03-23,0.558
2018-03-24,0.432375
2018-03-25,-0.00725
2018-03-26,1.122875
2018-03-27,2.3155
2018-03-28,3.257
2018-03-29,2.880375
2018-03-30,4.26075
2018-03-31,3.4445
2018-04-01,1.37425
2018-04-02,0.43225
2018-04-03,1.06025
2018-04-04,2.19
2018-04-05,4.13525
2018-04-06,6.20475
2018-04-07,5.4525
2018-04-08,5.4525
2018-04-09,6.26775
2018-04-10,5.8915
2018-04-11,5.0135
2018-04-12,3.44525
2018-04-13,3.947
2018-04-14,4.511625
2018-04-15,4.574
2018-04-16,4.197875
2018-04-17,3.194
2018-04-18,4.511375
2018-04-19,5.075125
2018-04-20,6.51825
2018-04-21,5.515125
2018-04-22,5.6395
2018-04-23,7.770375
2018-04-24,9.90125
2018-04-25,11.406125
2018-04-26,13.0965
2018-04-27,12.785
2018-04-28,7.961
2018-04-29,7.396875
2018-04-30,7.52225
2018-05-01,9.151625
2018-05-02,10.153125
2018-05-03,12.220125
2018-05-04,10.343
2018-05-05,11.78175
2018-05-06,13.850625
2018-05-07,14.038125
2018-05-08,14.97575
2018-05-09,11.5335
2018-05-10,8.588
2018-05-11,11.594875
2018-05-12,14.2865
2018-05-13,16.2905
2018-05-14,18.480625
2018-05-15,17.793125
2018-05-16,14.03875
2018-05-17,12.4105
2018-05-18,13.0995
2018-05-19,12.222625
2018-05-20,10.90675
2018-05-21,13.098875
2018-05-22,15.476125
2018-05-23,17.85575
2018-05-24,14.727625
2018-05-25,14.10125
2018-05-26,11.532875
2018-05-27,13.78675
2018-05-28,13.47475
2018-05-29,10.781
2018-05-30,10.404625
2018-05-31,9.527875
2018-06-01,9.841125
2018-06-02,13.7245
2018-06-03,10.65625
2018-06-04,9.52775
2018-06-05,9.840625
2018-06-06,13.035375
2018-06-07,12.22225
2018-06-08,10.4055
2018-06-09,8.587875
2018-06-10,7.208625
2018-06-11,8.336625
2018-06-12,10.091
2018-06-13,9.779
2018-06-14,9.84125
