Time,Lapse5_daily_mean_RH
2017-09-28,54.1113333333
2017-09-29,88.9015
2017-09-30,103.194125
2017-10-01,103.6485
2017-10-02,83.396125
2017-10-03,76.021875
2017-10-04,73.461125
2017-10-05,69.954125
2017-10-06,81.72625
2017-10-07,102.90625
2017-10-08,99.607125
2017-10-09,84.937875
2017-10-10,80.37525
2017-10-11,100.242125
2017-10-12,101.502
2017-10-13,102.093875
2017-10-14,100.455375
2017-10-15,96.44075
2017-10-16,92.2035
2017-10-17,98.960375
2017-10-18,96.773
2017-10-19,104.50425
2017-10-20,105.678375
2017-10-21,105.512
2017-10-22,99.787625
2017-10-23,94.768625
2017-10-24,80.54975
2017-10-25,91.235
2017-10-26,92.22725
2017-10-27,66.6725
2017-10-28,67.208625
2017-10-29,61.30625
2017-10-30,57.398
2017-10-31,57.29725
2017-11-01,94.64075
2017-11-02,103.883125
2017-11-03,101.97975
2017-11-04,102.09675
2017-11-05,99.2126666667
2017-11-06,95.18425
2017-11-07,87.035625
2017-11-08,89.46475
2017-11-09,100.29975
2017-11-10,100.957
2017-11-11,99.91825
2017-11-12,105.34425
2017-11-13,104.667625
2017-11-14,105.23275
2017-11-15,104.3865
2017-11-16,104.495
2017-11-17,103.63975
2017-11-18,104.950875
2017-11-19,105.342625
2017-11-20,105.618375
2017-11-21,99.686125
2017-11-22,105.289125
2017-11-23,106.841125
2017-11-24,105.9555
2017-11-25,104.03475
2017-11-26,105.510125
2017-11-27,103.32425
2017-11-28,105.008375
2017-11-29,104.774
2017-11-30,104.999625
2017-12-01,105.3975
2017-12-02,105.276875
2017-12-03,102.999375
2017-12-04,102.661375
2017-12-05,99.10925
2017-12-06,94.657625
2017-12-07,68.471125
2017-12-08,41.4145
2017-12-09,30.484625
2017-12-10,52.155625
2017-12-11,38.714625
2017-12-12,69.71775
2017-12-13,78.20775
2017-12-14,67.647375
2017-12-15,97.13525
2017-12-16,102.56075
2017-12-17,104.2785
2017-12-18,103.45975
2017-12-19,104.953
2017-12-20,93.8585
2017-12-21,95.411875
2017-12-22,100.581125
2017-12-23,86.081125
2017-12-24,86.921125
2017-12-25,101.807375
2017-12-26,99.71425
2017-12-27,101.372625
2017-12-28,104.4475
2017-12-29,105.846125
2017-12-30,103.017875
2017-12-31,93.436875
2018-01-01,81.124375
2018-01-02,79.582375
2018-01-03,77.758
2018-01-04,80.614125
2018-01-05,104.615625
2018-01-06,105.226625
2018-01-07,104.783625
2018-01-08,103.156
2018-01-09,104.435
2018-01-10,102.78625
2018-01-11,104.99975
2018-01-12,105.900375
2018-01-13,103.189375
2018-01-14,69.767
2018-01-15,62.831875
2018-01-16,103.14425
2018-01-17,98.379375
2018-01-18,104.61425
2018-01-19,104.214
2018-01-20,103.929625
2018-01-21,104.276125
2018-01-22,103.70625
2018-01-23,103.921125
2018-01-24,105.22975
2018-01-25,102.95075
2018-01-26,104.09925
2018-01-27,103.993
2018-01-28,105.901625
2018-01-29,105.733875
2018-01-30,103.47725
2018-01-31,103.928125
2018-02-01,104.4385
2018-02-02,105.500125
2018-02-03,106.5105
2018-02-04,106.122625
2018-02-05,107.44675
2018-02-06,106.174
2018-02-07,105.9545
2018-02-08,106.121375
2018-02-09,105.100875
2018-02-10,92.8275
2018-02-11,77.820625
2018-02-12,69.2535
2018-02-13,69.11675
2018-02-14,101.874125
2018-02-15,99.377375
2018-02-16,102.15425
2018-02-17,105.455
2018-02-18,101.112625
2018-02-19,93.852375
2018-02-20,91.588375
2018-02-21,90.06475
2018-02-22,82.632625
2018-02-23,93.698
2018-02-24,104.053
2018-02-25,102.843625
2018-02-26,101.22125
2018-02-27,101.878125
2018-02-28,103.022125
2018-03-01,99.767
2018-03-02,100.609875
2018-03-03,96.813875
2018-03-04,100.363375
2018-03-05,99.218
2018-03-06,90.185
2018-03-07,63.298125
2018-03-08,102.668875
2018-03-09,99.168
2018-03-10,88.2165
2018-03-11,79.9437142857
2018-03-12,65.285125
2018-03-13,76.058875
2018-03-14,102.963
2018-03-15,91.23225
2018-03-16,83.46325
2018-03-17,83.727625
2018-03-18,100.57475
2018-03-19,99.005
2018-03-20,95.1415
2018-03-21,71.76425
2018-03-22,95.523375
2018-03-23,98.68475
2018-03-24,96.66075
2018-03-25,94.66425
2018-03-26,101.065625
2018-03-27,102.667125
2018-03-28,99.361
2018-03-29,100.5405
2018-03-30,99.67425
2018-03-31,86.274625
2018-04-01,97.534375
2018-04-02,95.266875
2018-04-03,97.49725
2018-04-04,95.746125
2018-04-05,103.256625
2018-04-06,102.64475
2018-04-07,99.0875
2018-04-08,102.583
2018-04-09,88.05225
2018-04-10,83.331875
2018-04-11,97.001875
2018-04-12,100.14225
2018-04-13,103.42625
2018-04-14,104.086125
2018-04-15,101.12825
2018-04-16,103.179375
2018-04-17,98.552875
2018-04-18,93.63575
2018-04-19,84.230875
2018-04-20,81.88725
2018-04-21,98.11225
2018-04-22,82.712875
2018-04-23,61.674875
2018-04-24,55.262375
2018-04-25,61.216125
2018-04-26,55.453375
2018-04-27,66.131625
2018-04-28,103.857875
2018-04-29,101.595875
2018-04-30,100.4295
2018-05-01,92.87775
2018-05-02,87.476625
2018-05-03,84.326125
2018-05-04,94.49075
2018-05-05,80.50025
2018-05-06,78.655125
2018-05-07,88.041125
2018-05-08,77.72425
2018-05-09,97.85075
2018-05-10,99.068875
2018-05-11,91.968875
2018-05-12,72.216
2018-05-13,60.607125
2018-05-14,64.359
2018-05-15,72.225125
2018-05-16,82.750125
2018-05-17,96.593
2018-05-18,95.819375
2018-05-19,90.461375
2018-05-20,93.554375
2018-05-21,91.5925
2018-05-22,72.4725
2018-05-23,75.903125
2018-05-24,86.99475
2018-05-25,92.761625
2018-05-26,87.715
2018-05-27,86.46125
2018-05-28,88.87325
2018-05-29,90.453625
2018-05-30,85.082875
2018-05-31,98.838875
2018-06-01,93.699625
2018-06-02,76.914125
2018-06-03,93.581375
2018-06-04,97.8105
2018-06-05,81.166125
2018-06-06,71.857625
2018-06-07,83.85425
2018-06-08,101.303125
2018-06-09,102.600125
2018-06-10,103.098625
2018-06-11,97.261125
2018-06-12,75.662625
2018-06-13,92.5055
2018-06-14,102.925375
2018-06-15,94.882125
2018-06-16,83.4385
2018-06-17,67.5515
2018-06-18,57.7125
2018-06-19,66.15275
2018-06-20,77.088625
2018-06-21,86.17425
2018-06-22,102.0365
2018-06-23,102.486125
2018-06-24,77.26325
2018-06-25,101.160125
2018-06-26,99.13975
2018-06-27,90.18475
2018-06-28,103.061875
2018-06-29,103.341125
2018-06-30,104.896875
2018-07-01,101.938125
2018-07-02,102.89725
2018-07-03,95.218125
2018-07-04,73.346625
2018-07-05,63.83575
2018-07-06,75.69675
2018-07-07,96.13225
2018-07-08,77.226375
2018-07-09,77.0355
2018-07-10,102.109
2018-07-11,81.705125
2018-07-12,70.284875
2018-07-13,68.43875
2018-07-14,61.002375
2018-07-15,54.820125
2018-07-16,53.053125
2018-07-17,63.088
2018-07-18,78.606125
2018-07-19,90.50625
2018-07-20,91.447125
2018-07-21,79.73625
2018-07-22,68.099375
2018-07-23,64.1795
2018-07-24,68.3738333333
