Time,AirT_Lapse4_daily_mean
2016-08-16,20.1666666667
2016-08-17,17.1875
2016-08-18,21.5
2016-08-19,21.4375
2016-08-20,21.125
2016-08-21,16.5
2016-08-22,9.5625
2016-08-23,13.0625
2016-08-24,17.375
2016-08-25,19.5625
2016-08-26,20.25
2016-08-27,15.6875
2016-08-28,11.9375
2016-08-29,16.125
2016-08-30,14.4375
2016-08-31,11.0625
2016-09-01,8.0625
2016-09-02,7.5
2016-09-03,7.9375
2016-09-04,7.75
2016-09-05,8.75
2016-09-06,8.6875
2016-09-07,9.0625
2016-09-08,8.3125
2016-09-09,9.625
2016-09-10,13.25
2016-09-11,10.0
2016-09-12,10.75
2016-09-13,12.6875
2016-09-14,13.75
2016-09-15,12.9375
2016-09-16,13.75
2016-09-17,9.375
2016-09-18,8.0
2016-09-19,6.25
2016-09-20,6.5625
2016-09-21,8.625
2016-09-22,8.875
2016-09-23,6.625
2016-09-24,7.75
2016-09-25,9.875
2016-09-26,14.5625
2016-09-27,11.125
2016-09-28,9.6875
2016-09-29,9.25
2016-09-30,8.25
2016-10-01,5.5
2016-10-02,6.0
2016-10-03,6.3125
2016-10-04,5.4375
2016-10-05,6.125
2016-10-06,6.3125
2016-10-07,5.625
2016-10-08,7.5625
2016-10-09,6.0
2016-10-10,2.5625
2016-10-11,2.0
2016-10-12,5.5
2016-10-13,6.875
2016-10-14,4.625
2016-10-15,4.375
2016-10-16,4.3125
2016-10-17,4.1875
2016-10-18,3.75
2016-10-19,3.6875
2016-10-20,5.4375
2016-10-21,3.8125
2016-10-22,3.4375
2016-10-23,5.4375
2016-10-24,7.625
2016-10-25,4.25
2016-10-26,5.625
2016-10-27,5.0
2016-10-28,5.3125
2016-10-29,4.8125
2016-10-30,4.1875
2016-10-31,4.375
2016-11-01,3.125
2016-11-02,4.9375
2016-11-03,6.75
2016-11-04,11.6875
2016-11-05,7.625
2016-11-06,3.16666666667
2016-11-07,7.9375
2016-11-08,12.9375
2016-11-09,8.75
2016-11-10,11.625
2016-11-11,11.875
2016-11-12,5.9375
2016-11-13,3.625
2016-11-14,2.9375
2016-11-15,1.8125
2016-11-16,0.0625
2016-11-17,-0.3125
2016-11-18,-0.5
2016-11-19,1.625
2016-11-20,3.0625
2016-11-21,1.8125
2016-11-22,1.4375
2016-11-23,0.5
2016-11-24,0.5
2016-11-25,0.5
2016-11-26,0.875
2016-11-27,0.0
2016-11-28,-0.125
2016-11-29,-0.3125
2016-11-30,0.25
2016-12-01,-1.125
2016-12-02,0.4375
2016-12-03,0.0625
2016-12-04,-3.1875
2016-12-05,-4.75
2016-12-06,-8.3125
2016-12-07,-10.375
2016-12-08,-9.1875
2016-12-09,-2.375
2016-12-10,-2.0625
2016-12-11,-1.5
2016-12-12,-3.375
2016-12-13,-5.3125
2016-12-14,-6.875
2016-12-15,-7.6875
2016-12-16,-11.8125
2016-12-17,-10.625
2016-12-18,-4.6875
2016-12-19,-1.3125
2016-12-20,-0.375
2016-12-21,-1.4375
2016-12-22,-0.8125
2016-12-23,-1.8125
2016-12-24,-4.875
2016-12-25,-7.8125
2016-12-26,-3.5625
2016-12-27,-2.125
2016-12-28,-2.8125
2016-12-29,-1.625
2016-12-30,-3.0
2016-12-31,-5.1875
2017-01-01,-6.5
2017-01-02,-11.5
2017-01-03,-13.0
2017-01-04,-9.0
2017-01-05,-7.4375
2017-01-06,-6.125
2017-01-07,-4.6875
2017-01-08,-0.1875
2017-01-09,-2.0
2017-01-10,-8.5
2017-01-11,-10.5625
2017-01-12,-8.1875
2017-01-13,-4.625
2017-01-14,-0.5625
2017-01-15,0.1875
2017-01-16,3.4375
2017-01-17,3.4375
2017-01-18,2.5625
2017-01-19,0.5
2017-01-20,-0.125
2017-01-21,0.125
2017-01-22,-0.4375
2017-01-23,-2.3125
2017-01-24,-2.125
2017-01-25,-2.0625
2017-01-26,-1.4375
2017-01-27,-0.5625
2017-01-28,3.6875
2017-01-29,3.4375
2017-01-30,-1.0
2017-01-31,-5.625
2017-02-01,-6.125
2017-02-02,-3.6875
2017-02-03,0.0
2017-02-04,0.375
2017-02-05,-3.125
2017-02-06,-5.375
2017-02-07,-4.875
2017-02-08,-2.25
2017-02-09,2.8125
2017-02-10,-0.5625
2017-02-11,-1.4375
2017-02-12,-1.125
2017-02-13,4.125
2017-02-14,8.25
2017-02-15,6.0625
2017-02-16,2.6875
2017-02-17,0.6875
2017-02-18,0.625
2017-02-19,0.125
2017-02-20,0.1875
2017-02-21,-0.6875
2017-02-22,-3.1875
2017-02-23,-4.0
2017-02-24,-4.1875
2017-02-25,-4.25
2017-02-26,-3.25
2017-02-27,-5.25
2017-02-28,-4.6875
2017-03-01,-1.125
2017-03-02,-0.125
2017-03-03,0.125
2017-03-04,-3.3125
2017-03-05,-3.6875
2017-03-06,-4.1875
2017-03-07,-3.25
2017-03-08,-3.375
2017-03-09,-0.6875
2017-03-10,1.5625
2017-03-11,1.5
2017-03-12,2.0
2017-03-13,2.9375
2017-03-14,4.75
2017-03-15,2.375
2017-03-16,-0.25
2017-03-17,-0.5625
2017-03-18,1.375
2017-03-19,-1.75
2017-03-20,-0.625
2017-03-21,3.375
2017-03-22,1.875
2017-03-23,0.625
2017-03-24,0.8125
2017-03-25,0.1875
2017-03-26,0.25
2017-03-27,1.1875
2017-03-28,0.9375
2017-03-29,1.875
2017-03-30,1.0
2017-03-31,1.75
2017-04-01,2.625
2017-04-02,0.125
2017-04-03,-0.25
2017-04-04,3.625
2017-04-05,2.875
2017-04-06,2.5625
2017-04-07,2.3125
2017-04-08,0.625
2017-04-09,0.125
2017-04-10,0.625
2017-04-11,0.6875
2017-04-12,3.3125
2017-04-13,2.125
2017-04-14,0.75
2017-04-15,0.875
2017-04-16,3.5625
2017-04-17,3.8125
2017-04-18,2.9375
2017-04-19,2.625
2017-04-20,2.5
2017-04-21,4.75
2017-04-22,5.8125
2017-04-23,2.9375
2017-04-24,3.0
2017-04-25,4.125
2017-04-26,2.4375
2017-04-27,1.0625
2017-04-28,2.125
2017-04-29,1.8
