Time,Lapse1_daily_mean_RH,
8/16/2016,54.61775,
8/17/2016,69.39475,
8/18/2016,52.707625,
8/19/2016,46.02625,
8/20/2016,48.498875,
8/21/2016,57.05125,
8/22/2016,74.9595,
8/23/2016,71.40925,
8/24/2016,58.983125,
8/25/2016,53.282625,
8/26/2016,50.7225,
8/27/2016,64.446,
8/28/2016,84.068875,
8/29/2016,81.3035,
8/30/2016,80.758,
8/31/2016,93.489125,
9/1/2016,101.106125,
9/2/2016,102.300875,
9/3/2016,101.5345,
9/4/2016,94.553125,
9/5/2016,95.760375,
9/6/2016,94.670375,
9/7/2016,99.38425,
9/8/2016,102.1395,
9/9/2016,92.95425,
9/10/2016,89.258125,
9/11/2016,79.2065,
9/12/2016,74.045,
9/13/2016,71.19125,
9/14/2016,77.40325,
9/15/2016,80.276125,
9/16/2016,79.073125,
9/17/2016,100.222875,
9/18/2016,101.701,
9/19/2016,102.4085,
9/20/2016,99.542625,
9/21/2016,90.06725,
9/22/2016,85.26825,
9/23/2016,97.982375,
9/24/2016,98.161,
9/25/2016,99.947125,
9/26/2016,93.37725,
9/27/2016,91.66675,
9/28/2016,87.28075,
9/29/2016,90.187125,
9/30/2016,89.8275,
10/1/2016,92.430875,
10/2/2016,91.639375,
10/3/2016,92.3615,
10/4/2016,100.94225,
10/5/2016,97.1195,
10/6/2016,101.541625,
10/7/2016,103.105875,
10/8/2016,102.838125,
10/9/2016,103.532375,
10/10/2016,101.893,
10/11/2016,95.694375,
10/12/2016,94.958375,
10/13/2016,101.859,
10/14/2016,103.3725,
10/15/2016,103.851625,
10/16/2016,103.90475,
10/17/2016,104.063125,
10/18/2016,104.274375,
10/19/2016,104.4325,
10/20/2016,103.957125,
10/21/2016,104.589125,
10/22/2016,104.800375,
10/23/2016,103.632125,
10/24/2016,99.289125,
10/25/2016,102.8865,
10/26/2016,102.664375,
10/27/2016,103.851375,
10/28/2016,103.957625,
10/29/2016,102.348375,
10/30/2016,103.204375,
10/31/2016,103.957375,
11/1/2016,104.801375,
11/2/2016,104.380375,
11/3/2016,104.3275,
11/4/2016,99.787375,
11/5/2016,102.377875,
11/6/2016,104.7946667,
11/7/2016,104.01,
11/8/2016,103.25425,
11/9/2016,102.498125,
11/10/2016,103.36975,
11/11/2016,101.59425,
11/12/2016,103.028625,
11/13/2016,104.801125,
11/14/2016,105.010125,
11/15/2016,105.48,
11/16/2016,106.103375,
11/17/2016,106.41175,
11/18/2016,106.206625,
11/19/2016,105.219125,
11/20/2016,105.115125,
11/21/2016,105.4805,
11/22/2016,105.73975,
11/23/2016,105.89625,
11/24/2016,106.25825,
11/25/2016,106.051,
11/26/2016,105.948,
11/27/2016,106.36225,
11/28/2016,106.46425,
11/29/2016,106.3615,
11/30/2016,106.413625,
12/1/2016,106.773625,
12/2/2016,106.309625,
12/3/2016,106.567125,
12/4/2016,106.978375,
12/5/2016,105.6875,
12/6/2016,104.168625,
12/7/2016,104.22125,
12/8/2016,103.798,
12/9/2016,104.378375,
12/10/2016,105.373625,
12/11/2016,106.25725,
12/12/2016,104.059,
12/13/2016,103.586,
12/14/2016,103.58625,
12/15/2016,103.532875,
12/16/2016,103.372125,
12/17/2016,103.53175,
12/18/2016,103.58625,
12/19/2016,105.112,
12/20/2016,105.947875,
12/21/2016,105.948125,
12/22/2016,105.948,
12/23/2016,105.895625,
12/24/2016,104.166625,
12/25/2016,103.2665,
12/26/2016,103.5825,
12/27/2016,105.68875,
12/28/2016,105.999875,
12/29/2016,106.206,
12/30/2016,106.25875,
12/31/2016,103.31875,
1/1/2017,103.31925,
1/2/2017,103.79875,
1/3/2017,103.692,
1/4/2017,103.639375,
1/5/2017,103.266,
1/6/2017,102.783875,
1/7/2017,102.73,
1/8/2017,103.466625,
1/9/2017,105.636625,
1/10/2017,99.6285,
1/11/2017,97.68175,
1/12/2017,101.316625,
1/13/2017,100.8865,
1/14/2017,101.158375,
1/15/2017,101.2705,
1/16/2017,102.504375,
1/17/2017,105.219875,
1/18/2017,105.6365,
1/19/2017,106.207,
1/20/2017,106.102875,
1/21/2017,106.2065,
1/22/2017,106.3615,
1/23/2017,106.8245,
1/24/2017,103.613625,
1/25/2017,100.6085,
1/26/2017,101.048,
1/27/2017,100.062875,
1/28/2017,99.7855,
1/29/2017,101.561,
1/30/2017,105.272,
1/31/2017,96.011125,
2/1/2017,72.15375,
2/2/2017,80.43,
2/3/2017,99.18575,
2/4/2017,103.318375,
2/5/2017,103.425,
2/6/2017,102.892,
2/7/2017,103.212625,
2/8/2017,103.15875,
2/9/2017,105.010625,
2/10/2017,105.428625,
2/11/2017,105.844375,
2/12/2017,106.051125,
2/13/2017,104.9475,
2/14/2017,97.9445,
2/15/2017,105.114875,
2/16/2017,105.688375,
2/17/2017,105.999,
2/18/2017,106.25875,
2/19/2017,106.15475,
2/20/2017,106.464625,
2/21/2017,106.51575,
2/22/2017,106.201625,
2/23/2017,96.279125,
2/24/2017,88.27725,
2/25/2017,92.52325,
2/26/2017,103.89375,
2/27/2017,101.129875,
2/28/2017,102.135625,
3/1/2017,105.738,
3/2/2017,106.1035,
3/3/2017,106.413125,
3/4/2017,105.1605,
3/5/2017,105.579625,
3/6/2017,104.694375,
3/7/2017,105.05425,
3/8/2017,105.9975,
3/9/2017,106.257375,
3/10/2017,106.41325,
3/11/2017,106.361875,
3/12/2017,106.4718571,
3/13/2017,106.516375,
3/14/2017,106.3105,
3/15/2017,106.51525,
3/16/2017,106.670875,
3/17/2017,107.079625,
3/18/2017,106.7725,
3/19/2017,107.079625,
3/20/2017,106.5145,
3/21/2017,105.16625,
3/22/2017,105.115125,
3/23/2017,104.634875,
3/24/2017,103.636,
3/25/2017,104.695375,
3/26/2017,104.85275,
3/27/2017,104.745625,
3/28/2017,105.219125,
3/29/2017,105.009875,
3/30/2017,105.79175,
3/31/2017,101.129,
4/1/2017,100.661875,
4/2/2017,101.53525,
4/3/2017,93.78175,
4/4/2017,92.47,
4/5/2017,99.4995,
4/6/2017,100.3925,
4/7/2017,99.88675,
4/8/2017,102.892375,
4/9/2017,101.6835,
4/10/2017,97.015625,
4/11/2017,90.7135,
4/12/2017,98.165375,
4/13/2017,102.408125,
4/14/2017,101.236,
4/15/2017,102.404875,
4/16/2017,93.10925,
4/17/2017,95.632125,
4/18/2017,97.605375,
4/19/2017,99.116,
4/20/2017,100.38925,
4/21/2017,93.856875,
4/22/2017,94.63775,
4/23/2017,94.198875,
4/24/2017,88.71125,
4/25/2017,86.959625,
4/26/2017,100.277625,
4/27/2017,100.326875,
4/28/2017,92.249625,
4/29/2017,97.153875,
4/30/2017,97.27425,
5/1/2017,96.772875,
5/2/2017,88.321375,
5/3/2017,98.445875,
