Time,AirT_Lapse7_daily_mean
2016-09-28,9.6495
2016-09-29,8.082375
2016-09-30,4.25825
2016-10-01,0.871
2016-10-02,3.50525
2016-10-03,2.376625
2016-10-04,0.9965
2016-10-05,2.752875
2016-10-06,2.314
2016-10-07,1.373
2016-10-08,4.257875
2016-10-09,0.996375
2016-10-10,-1.38825
2016-10-11,-0.19625
2016-10-12,2.752875
2016-10-13,2.752875
2016-10-14,0.933625
2016-10-15,0.55725
2016-10-16,0.18075
2016-10-17,-0.07025
2016-10-18,-0.2585
2016-10-19,-0.5095
2016-10-20,1.372875
2016-10-21,-0.0075
2016-10-22,-0.57225
2016-10-23,1.05925
2016-10-24,4.63425
2016-10-25,0.369
2016-10-26,2.000125
2016-10-27,0.93375
2016-10-28,1.623875
2016-10-29,1.37275
2016-10-30,1.310125
2016-10-31,0.4945
2016-11-01,-0.94875
2016-11-02,0.55725
2016-11-03,2.941
2016-11-04,7.64375
2016-11-05,3.69375
2016-11-06,-0.0493333333333
2016-11-07,3.442625
2016-11-08,7.769125
2016-11-09,4.8855
2016-11-10,8.4585
2016-11-11,7.5185
2016-11-12,2.3135
2016-11-13,-0.7605
2016-11-14,-0.948875
2016-11-15,-2.1415
2016-11-16,-4.46475
2016-11-17,-4.02525
2016-11-18,-4.213625
2016-11-19,-1.5765
2016-11-20,-0.44675
2016-11-21,-1.827625
2016-11-22,-2.581
2016-11-23,-3.585875
2016-11-24,-2.895
2016-11-25,-3.209
2016-11-26,-1.7645
2016-11-27,-3.9625
2016-11-28,-4.2135
2016-11-29,-4.02525
2016-11-30,-3.9625
2016-12-01,-5.092625
2016-12-02,-3.146125
2016-12-03,-4.2765
2016-12-04,-8.17125
2016-12-05,-9.11375
2016-12-06,-12.32025
2016-12-07,-12.1945
2016-12-08,-12.32025
2016-12-09,-6.412
2016-12-10,-6.286
2016-12-11,-5.783625
2016-12-12,-6.286125
2016-12-13,-8.9255
2016-12-14,-9.365125
2016-12-15,-10.056875
2016-12-16,-14.584
2016-12-17,-13.2005
2016-12-18,-7.291375
2016-12-19,-5.09275
2016-12-20,-4.716
2016-12-21,-5.343875
2016-12-22,-5.09275
2016-12-23,-5.783625
2016-12-24,-8.8625
2016-12-25,-10.245375
2016-12-26,-7.92
2016-12-27,-6.663125
2016-12-28,-7.165625
2016-12-29,-5.783625
2016-12-30,-7.102875
2016-12-31,-9.239375
2017-01-01,-11.56575
2017-01-02,-15.716125
2017-01-03,-16.660125
2017-01-04,-11.565875
2017-01-05,-9.7425
2017-01-06,-9.931
2017-01-07,-7.73125
2017-01-08,-2.39275
2017-01-09,-6.412
2017-01-10,-11.880375
2017-01-11,-12.068875
2017-01-12,-9.365125
2017-01-13,-5.783875
2017-01-14,-1.890375
2017-01-15,-1.137125
2017-01-16,-0.19575
2017-01-17,-0.0075
2017-01-18,-0.69775
2017-01-19,-3.209
2017-01-20,-4.21375
2017-01-21,-3.585875
2017-01-22,-4.5275
2017-01-23,-5.2185
2017-01-24,-5.5955
2017-01-25,-6.349125
2017-01-26,-5.09275
2017-01-27,-3.962375
2017-01-28,-0.886125
2017-01-29,-1.200125
2017-01-30,-5.972125
2017-01-31,-10.999875
2017-02-01,-11.44
2017-02-02,-7.291875
2017-02-03,-3.334625
2017-02-04,-3.585625
2017-02-05,-7.668375
2017-02-06,-8.862375
2017-02-07,-8.422625
2017-02-08,-5.219
2017-02-09,0.180625
2017-02-10,-5.218375
2017-02-11,-6.411875
2017-02-12,-3.64875
2017-02-13,5.135875
2017-02-14,4.759625
2017-02-15,2.815625
2017-02-16,-0.949
2017-02-17,-3.14625
2017-02-18,-3.39725
2017-02-19,-4.33925
2017-02-20,-3.836875
2017-02-21,-4.84175
2017-02-22,-7.542875
2017-02-23,-8.108625
2017-02-24,-8.548375
2017-02-25,-8.48525
2017-02-26,-8.422375
2017-02-27,-9.61675
2017-02-28,-9.302625
2017-03-01,-5.09275
2017-03-02,-4.46475
2017-03-03,-3.774125
2017-03-04,-8.171
2017-03-05,-8.170875
2017-03-06,-8.988375
2017-03-07,-7.857
2017-03-08,-7.856875
2017-03-09,-3.586
2017-03-10,-1.451
2017-03-11,-2.01575
2017-03-12,-1.46
2017-03-13,-0.5095
2017-03-14,1.373
2017-03-15,-0.32125
2017-03-16,-5.218375
2017-03-17,-4.5905
2017-03-18,-2.707625
2017-03-19,-7.165875
2017-03-20,-1.89075
2017-03-21,-0.07025
2017-03-22,-1.764875
2017-03-23,-4.088
2017-03-24,-2.518375
2017-03-25,-3.837
2017-03-26,-3.58575
2017-03-27,-2.455375
2017-03-28,-2.83225
2017-03-29,-1.3885
2017-03-30,-2.267375
2017-03-31,-1.639625
2017-04-01,-0.88625
2017-04-02,-4.778875
2017-04-03,-4.276625
2017-04-04,-3.209
2017-04-05,-1.07425
2017-04-06,-0.886
2017-04-07,-0.823375
2017-04-08,-3.962375
2017-04-09,-4.465
2017-04-10,-4.276375
2017-04-11,-4.088
2017-04-12,-1.3255
2017-04-13,-2.51825
2017-04-14,-3.962375
2017-04-15,-3.522875
2017-04-16,-2.83225
2017-04-17,-0.5095
2017-04-18,-0.94875
2017-04-19,-1.450875
2017-04-20,-1.38825
2017-04-21,-0.697875
2017-04-22,-0.2585
2017-04-23,-1.388
2017-04-24,-1.57675
2017-04-25,-1.0115
2017-04-26,-1.890125
2017-04-27,-3.083375
2017-04-28,-2.2045
2017-04-29,-2.33
2017-04-30,-2.392625
2017-05-01,-2.20425
2017-05-02,-1.011875
2017-05-03,4.822375
2017-05-04,10.714
2017-05-05,3.316875
2017-05-06,-2.70675
2017-05-07,-1.63975
2017-05-08,0.055125
2017-05-09,3.881625
2017-05-10,5.449375
2017-05-11,2.439
2017-05-12,-2.455375
2017-05-13,-1.8905
2017-05-14,-1.3885
2017-05-15,-1.827375
2017-05-16,-2.016
2017-05-17,0.7455
2017-05-18,2.062875
2017-05-19,4.3835
2017-05-20,6.891125
2017-05-21,11.5905
2017-05-22,13.7825
2017-05-23,10.462625
2017-05-24,-0.949
2017-05-25,6.013125
2017-05-26,10.0245
2017-05-27,12.655375
2017-05-28,14.3465
2017-05-29,15.347625
2017-05-30,12.1535
2017-05-31,5.700375
2017-06-01,4.759875
2017-06-02,3.50575
2017-06-03,5.19875
2017-06-04,2.251125
2017-06-05,5.887375
2017-06-06,12.154375
2017-06-07,14.721625
2017-06-08,5.699875
2017-06-09,0.43175
2017-06-10,0.9965
2017-06-11,3.56825
2017-06-12,4.258125
2017-06-13,1.122
2017-06-14,0.68275
2017-06-15,2.94125
2017-06-16,3.81925
2017-06-17,2.627625
2017-06-18,4.697
2017-06-19,10.901875
2017-06-20,8.33325
2017-06-21,4.44625
2017-06-22,6.953375
2017-06-23,11.903625
2017-06-24,16.53675
2017-06-25,19.602875
2017-06-26,14.408875
2017-06-27,8.834125
2017-06-28,8.144875
2017-06-29,11.966
2017-06-30,14.9095
2017-07-01,12.09225
2017-07-02,11.4655
2017-07-03,7.894125
2017-07-04,11.402625
2017-07-05,15.723375
2017-07-06,17.288125
2017-07-07,15.4105
2017-07-08,14.0955
2017-07-09,10.27575
2017-07-10,8.709
2017-07-11,8.583375
2017-07-12,9.398125
2017-07-13,8.082375
2017-07-14,11.402625
2017-07-15,9.649
2017-07-16,3.7565
2017-07-17,8.70775
2017-07-18,13.031375
2017-07-19,11.465625
2017-07-20,6.452625
2017-07-21,6.8915
2017-07-22,9.523625
2017-07-23,10.964875
2017-07-24,12.279375
2017-07-25,15.034875
2017-07-26,14.78475
2017-07-27,11.403125
2017-07-28,11.9665
2017-07-29,13.031125
2017-07-30,11.65325
2017-07-31,14.658625
2017-08-01,18.16375
2017-08-02,19.66525
2017-08-03,21.542
2017-08-04,18.66475
2017-08-05,18.664625
2017-08-06,18.727125
2017-08-07,18.727
2017-08-08,20.228375
2017-08-09,21.66675
2017-08-10,20.72875
2017-08-11,20.6035
2017-08-12,13.46975
2017-08-13,6.7035
2017-08-14,5.825625
2017-08-15,9.397875
2017-08-16,9.71175
2017-08-17,10.588125
2017-08-18,8.14525
2017-08-19,7.769
2017-08-20,9.773875
2017-08-21,14.3455
2017-08-22,17.038
2017-08-23,12.34275
2017-08-24,6.201875
2017-08-25,7.830875
2017-08-26,13.71925
2017-08-27,18.789375
2017-08-28,19.85325
2017-08-29,19.85325
2017-08-30,13.5325
2017-08-31,10.58875
2017-09-01,14.470875
2017-09-02,17.788375
2017-09-03,19.28975
2017-09-04,21.47925
2017-09-05,22.229875
2017-09-06,21.41675
2017-09-07,16.975125
2017-09-08,11.27825
2017-09-09,6.327125
2017-09-10,5.951
2017-09-11,12.96825
2017-09-12,10.964875
2017-09-13,6.82875
2017-09-14,7.267375
2017-09-15,8.70875
2017-09-16,8.019625
2017-09-17,5.198625
2017-09-18,-0.2585
2017-09-19,-0.133
2017-09-20,0.118
2017-09-21,0.7455
2017-09-22,3.44275
2017-09-23,4.697
2017-09-24,6.577875
2017-09-25,5.8885
2017-09-26,8.332625
2017-09-27,12.7562
