Time,Lapse5_daily_mean_RH
2016-09-30,81.7445
2016-10-01,89.576875
2016-10-02,80.211125
2016-10-03,94.047375
2016-10-04,99.219375
2016-10-05,91.714125
2016-10-06,97.722
2016-10-07,102.459625
2016-10-08,101.834875
2016-10-09,94.13575
2016-10-10,93.897875
2016-10-11,71.01375
2016-10-12,57.644
2016-10-13,96.13225
2016-10-14,103.764
2016-10-15,104.78525
2016-10-16,105.120625
2016-10-17,103.713875
2016-10-18,103.714375
2016-10-19,96.343625
2016-10-20,102.864
2016-10-21,98.878
2016-10-22,93.631875
2016-10-23,87.691125
2016-10-24,80.657
2016-10-25,99.280125
2016-10-26,98.015125
2016-10-27,101.483
2016-10-28,94.698625
2016-10-29,88.6825
2016-10-30,93.20625
2016-10-31,102.23575
2016-11-01,103.541625
2016-11-02,102.197
2016-11-03,76.211375
2016-11-04,38.7355
2016-11-05,91.91375
2016-11-06,99.3155555556
2016-11-07,91.12075
2016-11-08,68.02575
2016-11-09,96.048625
2016-11-10,56.064
2016-11-11,60.613
2016-11-12,97.71325
2016-11-13,101.935875
2016-11-14,101.35875
2016-11-15,102.377875
2016-11-16,100.63025
2016-11-17,100.38525
2016-11-18,92.44725
2016-11-19,98.8345
2016-11-20,103.20275
2016-11-21,102.51075
2016-11-22,99.355625
2016-11-23,102.631125
2016-11-24,102.920625
2016-11-25,99.562375
2016-11-26,104.053375
2016-11-27,103.194125
2016-11-28,102.009375
2016-11-29,99.433
2016-11-30,102.394
2016-12-01,96.24775
2016-12-02,101.885375
2016-12-03,102.2825
2016-12-04,95.029
2016-12-05,99.142125
2016-12-06,92.133375
2016-12-07,89.084
2016-12-08,86.150875
2016-12-09,99.682
2016-12-10,101.25475
2016-12-11,101.24225
2016-12-12,99.606625
2016-12-13,94.59875
2016-12-14,87.940125
2016-12-15,89.8
2016-12-16,82.212875
2016-12-17,92.688125
2016-12-18,98.630875
2016-12-19,100.447
2016-12-20,97.8665
2016-12-21,85.0425
2016-12-22,84.704125
2016-12-23,101.304125
2016-12-24,95.788125
2016-12-25,93.4005
2016-12-26,98.7495
2016-12-27,100.257375
2016-12-28,99.188875
2016-12-29,100.178
2016-12-30,96.832
2016-12-31,99.22175
2017-01-01,91.710125
2017-01-02,82.212875
2017-01-03,70.141375
2017-01-04,54.00825
2017-01-05,59.064875
2017-01-06,64.58175
2017-01-07,59.903375
2017-01-08,92.9485
2017-01-09,98.682375
2017-01-10,84.56175
2017-01-11,63.72025
2017-01-12,65.100625
2017-01-13,52.30375
2017-01-14,40.788875
2017-01-15,66.23775
2017-01-16,74.669
2017-01-17,101.97525
2017-01-18,105.456375
2017-01-19,106.233875
2017-01-20,104.44025
2017-01-21,99.260875
2017-01-22,97.479875
2017-01-23,93.789375
2017-01-24,99.134375
2017-01-25,96.107625
2017-01-26,94.513875
2017-01-27,81.475625
2017-01-28,37.09775
2017-01-29,69.810875
2017-01-30,95.65525
2017-01-31,69.19475
2017-02-01,54.034625
2017-02-02,40.476125
2017-02-03,92.480125
2017-02-04,101.52875
2017-02-05,99.839
2017-02-06,99.3805
2017-02-07,90.07675
2017-02-08,97.817875
2017-02-09,102.05775
2017-02-10,99.445875
2017-02-11,96.803625
2017-02-12,64.86325
2017-02-13,54.40375
2017-02-14,42.2135
2017-02-15,101.888125
2017-02-16,103.188125
2017-02-17,96.950375
2017-02-18,96.02775
2017-02-19,99.189375
2017-02-20,96.8665
2017-02-21,95.45875
2017-02-22,91.591375
2017-02-23,91.106625
2017-02-24,87.425125
2017-02-25,92.741375
2017-02-26,89.005625
2017-02-27,96.4365
2017-02-28,95.2795
2017-03-01,97.868625
2017-03-02,100.674
2017-03-03,101.3705
2017-03-04,93.97925
2017-03-05,97.299125
2017-03-06,94.50775
2017-03-07,99.032125
2017-03-08,95.866375
2017-03-09,99.996375
2017-03-10,101.69375
2017-03-11,94.8755
2017-03-12,102.122
2017-03-13,102.852375
2017-03-14,102.627125
2017-03-15,103.650625
2017-03-16,100.363
2017-03-17,84.737125
2017-03-18,101.995
2017-03-19,90.055625
2017-03-20,76.14475
2017-03-21,101.16975
2017-03-22,101.32375
2017-03-23,97.07975
2017-03-24,101.512
2017-03-25,97.27525
2017-03-26,97.345125
2017-03-27,99.596375
2017-03-28,101.751375
2017-03-29,102.9735
2017-03-30,97.16675
2017-03-31,91.904375
2017-04-01,96.493
2017-04-02,93.302375
2017-04-03,82.743
2017-04-04,62.02875
2017-04-05,103.313875
2017-04-06,101.940125
2017-04-07,99.413
2017-04-08,99.314875
2017-04-09,92.411
2017-04-10,95.738
2017-04-11,80.589875
2017-04-12,94.13325
2017-04-13,100.8525
2017-04-14,97.802
2017-04-15,92.10625
2017-04-16,74.81175
